 T ionization_fraction Pressure Internal_Energy Specific_Heat
         100     1.37768735698338535880489221139414942E-0341     8252.53347235826737725613174974592772           12378.8002085374010658841976246188908           123787990.326145645975925361406030183      
         200     4.98021092811533439927852890001754876E-0170     16505.0669447165347545122634994918554           24757.6004170748021317683952492377816           123787990.326145645975925361406030183      
         300     8.71146149414941481282620463668578738E-0113     24757.6004170748021317683952492377816           37136.4006256122031976525928738566724           123787990.326145645975925361406030183      
         400     3.88313512556821777961454841517486491E-0084     33010.1338894330695090245269989837109           49515.2008341496042635367904984755632           123787990.326145645975925361406030183      
         500     6.23874746320849285858168255373433022E-0067     41262.6673617913368862806587487296402           61894.0010426870053294209881230944603           123787990.326145645975925361406030183      
         600     1.89076851961840763061663985784480288E-0055     49515.2008341496042635367904984755632           74272.8012512244063953051857477133448           123787990.326145645975925361406030183      
         700     3.05865571167862963910867637220196474E-0047     57767.7343065078716407929222482214925           86651.6014597618074611893833723322419           123787990.326145645975925361406030183      
         800     4.44668278381266136132637146924487262E-0041     66020.2677788661390180490539979674218           99030.4016682992085270735809969511264           123787990.326145645975925361406030183      
         900     2.79017709511189946431906240561220167E-0036     74272.8012512244063953051857477133448           111409.201876836609592957778621570049           123787990.326145645975925361406033789      
        1000     1.93791570548686155122390611079702504E-0032     82525.3347235826737725613174974608707           123788.002085374010658841976246443678           123787990.326145645975925361426325215      
        1100     2.71339182835883777764743791575127980E-0029     90777.8681959409411498174492496683553           136166.802293911411724726174227859781           123787990.326145645975925384935369444      
        1200     1.14234765317189239453773556375701031E-0026     99030.4016682992085270735821282225854           148545.602502448812790610521957004110           123787990.326145645975933701035404937      
        1300     1.90738391601018552019701703001894083E-0024     107282.935140657475904329917376441997           160924.402710986213856519715380305508           123787990.326145645977114112497633632      
        1400     1.53939279281797591753899811444228392E-0022     115535.468613015743281603629943212741           173303.202919523614924410152155854219           123787990.326145646058807637421699334      
        1500     6.94317637538547906624427771804021201E-0021     123788.002085374010659701458177824241           185682.003128061016079971188969605115           123787990.326145649238593827960585878      
        1600     1.95141305524762686482936403129021851E-0019     132040.535557732278061864670486859545           198060.803336598419634066459736337844           123787990.326145726724651301795818689      
        1700     3.71443166089816679342411370981901510E-0018     140293.069030090545934463257155621166           210439.603545135867273676888465519201           123787990.326147010088876699380247949      
        1800     5.10892131176492419120101950917659160E-0017     148545.602502448820379688315432644622           222818.403753673895889754534551674244           123787990.326162413523967781627744484      
        1900     5.34420915623884338260735687983630929E-0016     156798.135974807163964069899019890645           235197.203962217705556961221438658182           123787990.326303367635694420002280085      
        2000     4.42934823801511241603678158203896070E-0015     165050.669447166078612014534011499142           247576.004170806800054298146432878697           123787990.327327666036028684905837264      
        2100     3.00676834950394468637496946587282844E-0014     173303.202919528825748232827576941977           259954.804379684801471706982410821916           123787990.333437475180599765314856385      
        2200     1.71771431196387852159054370652099408E-0013     181555.736391913068388316846163233125           272333.604590106532841788768027733570           123787990.364174299352717326515363263      
        2300     8.44564185466049462217890748328898995E-0013     189808.269864400454943723642328907210           284712.404807599200441796053607945391           123787990.497546427939353143135722349      
        2400     3.64136632368974150852584015759870131E-0012     198060.803337319628993459988260411580           297091.205053399916487203847743877436           123787991.006144683929316540160697065      
        2500     1.39852048062984581403329093943167893E-0011     206313.336811842018700947387365433933           309470.005399888353526170127008867412           123787992.737638527610838056918187374      
        2600     4.84864297501517998322790794928753104E-0011     214565.870291718484804834586705010861           321848.806069002645301976398809782574           123787998.070792128334501336789481223      
        2700     1.53475586298226177240951420212562996E-0010     222818.403787870404340045434980593697           334227.607680474306335175217375534513           123788013.101803517002552589113705740      
        2800     4.47862950113945844741342190228288590E-0010     231070.937329519598194816540495347249           346606.411826670605524556911490464587           123788052.244506319367411258105716826      
        2900     1.21499895711038791227882771146534483E-0009     239323.470989167521251009851649456768           358985.222306335475677678913070213457           123788147.218452282701569943209284826      
        3000     3.08663841265080275041634206015746044E-0009     247576.004934925625841710146315946545           371364.047598798381483947365143110975           123788363.487352908435392078877272016      
        3100     7.38962725845030139799330117867322277E-0009     255828.539533583823951917339120742898           383742.905533379701391369415449635307           123788828.596345317960884082376999710      
        3200     1.67645528394337177708498059854770110E-0008     264081.075542665626681655089783709790           396121.831633979063074557803491824118           123789778.495600219307945283424255971      
        3300     3.62166252878615980805395658027052305E-0008     272333.614450826934099297738736077287           408500.893315001470863379021037250602           123791629.716620856835738667215268725      
        3400     7.48233105435693025750619240905269894E-0008     280586.159054564833124448272159000341           420880.212984437314620670538354123819           123795087.078665205801131911534863056      
        3500     1.48399434326503158337508917113058558E-0007     288838.714396034825251456456817139799           433260.004157475607327152820959177534           123801298.205873742795948995340641219      
        3600     2.83507217995662866482643206561237813E-0007     297091.289232398647498898723389719446           445640.625882076712053852516751962453           123812067.420202435862169694172838403      
        3700     5.23292138676836835329320893797069128E-0007     305343.898261233832302467112650779256           458022.662075825342406050105990113740           123830142.312466712014385413655928058      
        3800     9.35720909146116841978420764963843765E-0007     313596.565388202853861594228597815800           470407.033708292039938831461740146052           123859586.337502902700900987645715843      
        3900     1.62489325921086259811923263088097766E-0006     321849.328391926842944512725789400825           482795.153108439968877722080809530570           123906250.295599866333763132741008834      
        4000     2.74617344421888070703514108852073189E-0006     330102.245409861467798336731320402159           495189.130746749742054884623775620162           123978353.344320513557524473362577979      
        4100     4.52597679247804159756180929690821699E-0006     338355.403748462939179085099606493837           507592.046125020838036142955919881610           124087183.464654253668606457349476954      
