 T n_h1/n_h n_he1/n_he n_he2/n_he
         100     1.64665154962668970487181542778916496E-0341     1.03626304842943448561758381492979118E-0894     1.30398163214171501462730816301148650E-3292
         200     5.95249132646764929816159492336044598E-0170     2.97942830182904717050968052153651722E-0446     4.90265787205978188231246779172371361E-1644
         300     1.04121860351669086003137485623377321E-0112     1.04031463361169661070661403294538710E-0296     2.13356827412683028403599008675656416E-1094
         400     4.64123457093359212442895963882944549E-0084     6.55164892533352076855965458534474732E-0222     1.59876294728581469724740150997185035E-0819
         500     7.45673140461499652602319542521419756E-0067     5.15611013121481237539340750143508548E-0177     1.45047629585027767109344825365583492E-0654
         600     2.25990096846948531185978136353766649E-0055     4.50713760638805409390132987742027319E-0147     1.42951983267897019659629161375302678E-0544
         700     3.65579327190274154107861822762435206E-0047     1.11823806117751050296536990181104766E-0125     5.46622234178932344177417257612375237E-0466
         800     5.31480299812589019685130576067266168E-0041     1.25992802411545548748101043776468379E-0109     4.85548790400166867968839178249042604E-0407
         900     3.33489970809707559809332163890468847E-0036     3.88708222350261289653666343049807354E-0097     3.50084710954710703628428386476951558E-0361
        1000     2.31625258326227985081702505662704005E-0032     3.84302114810983728733139314286775910E-0087     1.72893500171921107109007735492354436E-0324
        1100     3.24312425360038320396851650169397984E-0029     5.82647904365906074427161664560453302E-0079     1.84396032608168672368795024524868129E-0294
        1200     1.36536658533576699053786130976970789E-0026     3.84729058696968899040932463597177818E-0072     1.96790550051148577776931782575509648E-0269
        1300     2.27976017437757071420503462205696997E-0024     2.27930339324057145458098617437945057E-0066     2.99183359570949522664864076199981863E-0248
        1400     1.83992653741188950947790940442507714E-0022     2.03037762539943678276775328088834696E-0061     4.31979362257196531841865174418753670E-0230
        1500     8.29868579292246831860939368823168849E-0021     3.97131104280843571510165279494139385E-0057     2.38134987851667587657453725374630182E-0214
        1600     2.33238477335431112573689767070826584E-0019     2.26584133346155996122958016904041985E-0053     1.42308118622743383934304475876500435E-0200
        1700     4.43959599202815985412351665315326835E-0018     4.68604355165727699410237731418605907E-0050     2.04776053337103211509723175964142145E-0188
        1800     6.10632926595870079463976218472770123E-0017     4.15959175405737161019981464675696147E-0047     1.31997056588040820655408721303679927E-0177
        1900     6.38755255793311836183794273806341158E-0016     1.81095029861808536870083671817413005E-0044     6.22208216504464838369153144235415423E-0168
        2000     5.29408443095790362225223133831222588E-0015     4.30263303342884420055589700219045726E-0042     3.17457182988256659913870097926037424E-0159
        2100     3.59377644446909476299719361326315440E-0014     6.08231103101499247994379068478370008E-0040     2.40811273169562199161299599013731252E-0151
        2200     2.05306154513679630739809952857868640E-0013     5.49064397397193098112215969648872574E-0038     3.52140640984660590242646404642092624E-0144
        2300     1.00944734471168252168945586155381182E-0012     3.35562657546380001843934472672223579E-0036     1.23025861516897045195521096969761578E-0137
        2400     4.35226704797796922826746063944144416E-0012     1.45770086038868155971906661287964239E-0034     1.22795919368373842456503622113009648E-0131
        2500     1.67155184543139372173174739607254174E-0011     4.68893932068484048057201004704841290E-0033     4.06932572735282102805016696706907292E-0126
        2600     5.79523552348330936968636662785769864E-0011     1.15618569873076826918315583265212839E-0031     5.08418975783840051757199524166140967E-0121
        2700     1.83438434893484579203850504703716138E-0010     2.25080224554910876762049649562825384E-0030     2.66880323849256225450689137148858433E-0116
        2800     5.35298661275898178716147408204667385E-0010     3.54800595753622558292927475700772888E-0029     6.45837630742331875659645526740873335E-0112
        2900     1.45220169901914266499624881293756724E-0009     4.62845688179627859969323512242972705E-0028     7.80550643273278151517308059682558117E-0108
        3000     3.68923761372406526631387510597133000E-0009     5.09212358667104090733358790233100659E-0027     5.04981603196651608116342118980237982E-0104
        3100     8.83229804021770242327949487500702176E-0009     4.80309430094478177319140399349239665E-0026     1.85775471968033432348301402268066434E-0100
        3200     2.00374765166742722017521258337866988E-0008     3.94055777089557133901150598883395976E-0025     4.09732795053673915304147460928729720E-0097
        3300     4.32871523957202484804811895617162803E-0008     2.84778100961574962668876161332850457E-0024     5.67535315045382133707083457820046496E-0094
        3400     8.94309724406199089715390017645977550E-0008     1.83324049549628338316287493793296662E-0023     5.14365856748930504450908045824995930E-0091
        3500     1.77371270304384041437579806335742676E-0007     1.06168065910309820588183950474331558E-0022     3.16308991801146068302638798027190656E-0088
        3600     3.38855976288589531397485159092561796E-0007     5.58021017668713579818966361858443046E-0022     1.36311505169490804888510757367974943E-0085
        3700     6.25453823028323347438539199431296201E-0007     2.68285622029825737766517860418194906E-0021     4.23683512269472370572607927312983196E-0083
        3800     1.11840089085993606315015402692247280E-0006     1.18818489631477540419083775367503318E-0020     9.74606670579965545879483190181931091E-0081
        3900     1.94211837579032321208975589216004145E-0006     4.87806465815010000392579700967187842E-0020     1.69800698232569322009932150202783768E-0078
        4000     3.28230459803361616512701232900965780E-0006     1.86703321284128805794031029970297762E-0019     2.28776991316928999392182959311184810E-0076
        4100     5.40957532202623344383995764384052541E-0006     6.69608372996785218939488040807346565E-0019     2.42887913062922304581920692252077090E-0074
        4200     8.70971111852455064480355048052604000E-0006     2.26082179863136714217314657023858367E-0018     2.06681893102619945442493042663695747E-0072
        4300     1.37215713154139358119295218082230002E-0005     7.21628621403600904444704382423197068E-0018     1.43152181037857642732180692070020613E-0070
        4400     2.11837472648982558059419399753542347E-0005     2.18586159302603631835723745130658652E-0017     8.18427275869252508930438609337238581E-0069
        4500     3.20909968985100647561229549994384708E-0005     6.30529426700766863592199136815275807E-0017     3.91197286268244000032771626566029534E-0067
