,T,n_h1/n_h,n_he1/n_he,n_he2/n_he,n_c1/n_c,n_c2/n_c,n_n1/n_n,n_n2/n_n,n_o1/n_o,n_o2/n_o,ionization_energy
,37800,0.9999982081,0.3315208341,0.6684748117,0.0001482985,0.9998517014,0.0001814154,0.9998185845,0.0001498383,0.9998501611,7588150446616940
,37900,0.9999982332,0.3211558839,0.6788399939,0.0001449527,0.9998550472,0.0001765747,0.9998234252,0.00014519,0.9998548094,7601176023830160
,38000,0.9999982578,0.3110119547,0.6889841437,0.0001416957,0.9998583042,0.0001718833,0.9998281166,0.0001407056,0.9998592938,7613923830205160
,38100,0.999998282,0.3010927248,0.6989035831,0.0001385248,0.9998614751,0.0001673358,0.9998326641,0.0001363787,0.9998636208,7626389244642270
,38200,0.9999983058,0.2914011874,0.7085953196,0.0001354375,0.9998645625,0.0001629272,0.9998370727,0.0001322029,0.9998677966,7638568507031210
,38300,0.9999983292,0.2819396931,0.7180570028,0.000132431,0.9998675689,0.0001586528,0.9998413471,0.0001281725,0.999871827,7650458664619260
,38400,0.9999983521,0.2727096478,0.7272872275,0.000129503,0.9998704969,0.0001545077,0.9998454922,0.0001242817,0.9998757179,7662057951951960
,38500,0.9999983747,0.2637121097,0.7362849357,0.000126651,0.9998733489,0.0001504877,0.9998495123,0.0001205251,0.9998794745,7673365040197440
,38600,0.999998397,0.2549474426,0.7450497642,0.0001238729,0.9998761271,0.0001465883,0.9998534117,0.0001168974,0.9998831022,7684379473448980
,38700,0.9999984188,0.2464154692,0.7535818904,0.0001211663,0.9998788336,0.0001428055,0.9998571944,0.0001133939,0.9998866057,7695101475211900
,38800,0.9999984403,0.2381154233,0.7618820812,0.0001185292,0.9998814707,0.0001391354,0.9998608645,0.0001100097,0.99988999,7705532009557460
,38900,0.9999984614,0.2300461302,0.7699515115,0.0001159596,0.9998840403,0.0001355742,0.9998644258,0.0001067402,0.9998932594,7715672553529060
,39000,0.9999984821,0.2222058778,0.7777918938,0.0001134554,0.9998865445,0.0001321182,0.9998678818,0.0001035813,0.9998964184,7725525259373640
,39100,0.9999985026,0.2145925719,0.7854053227,0.0001110148,0.9998889851,0.0001287639,0.9998712361,0.0001005286,0.9998994711,7735092759781110
,39200,0.9999985226,0.2072038341,0.7927941769,0.000108636,0.999891364,0.000125508,0.9998744919,9.75782618247669E-005,0.9999024214,7744378044200000
,39300,0.9999985424,0.200036665,0.799961456,0.000106317,0.9998936829,0.0001223472,0.9998776528,9.47263901140344E-005,0.9999052733,7753384882625480
,39400,0.9999985618,0.1930880239,0.8069102012,0.0001040563,0.9998959436,0.0001192784,0.9998807216,9.19693651917318E-005,0.9999080303,7762117096919260
,39500,0.9999985809,0.1863544832,0.8136438403,0.0001018522,0.9998981477,0.0001162985,0.9998837014,8.93036746939462E-005,0.9999106961,7770578994966120
,39600,0.9999985997,0.1798323783,0.8201660383,9.97030693840363E-005,0.9999002969,0.0001134048,0.9998865952,0.000086726,0.9999132738,7778775182654290
,39700,0.9999986182,0.1735178363,0.8264806683,9.76073450961591E-005,0.9999023926,0.0001105943,0.9998894056,0.000084233,0.9999157668,7786710527313330
,39800,0.9999986363,0.1674067867,0.8325918009,9.55635463070665E-005,0.9999044364,0.0001078645,0.9998921354,8.18216828357934E-005,0.9999181781,7794390144697980
,39900,0.9999986542,0.1614949988,0.8385036673,9.35702199471466E-005,0.9999064297,0.0001052127,0.9998947872,7.94890631803805E-005,0.9999205107,7801819351961290
,40000,0.9999986718,0.1557780994,0.8442206409,0.000091626,0.999908374,0.0001026365,0.9998973635,7.72322763887451E-005,0.9999227675,7809003645173030
,40100,0.9999986891,0.1502516221,0.8497471882,8.972939082826E-005,0.9999102706,0.0001001333,0.9998998666,7.50485907838535E-005,0.9999249512,7815948637316570
,40200,0.9999987061,0.1449110128,0.8550878636,8.78792174670387E-005,0.9999121207,0.000097701,0.999902299,7.29353827639728E-005,0.9999270644,7822660052049560
,40300,0.9999987229,0.1397516281,0.8602473108,8.60741440312682E-005,0.9999139258,9.53372349952531E-005,0.9999046627,7.08901190092831E-005,0.9999291097,7829143724686460
,40400,0.9999987394,0.1347688162,0.8652301815,8.43129472868437E-005,0.999915687,9.30398781298604E-005,0.9999069601,6.89103875896486E-005,0.9999310894,7835405501318240
,40500,0.9999987556,0.1299578532,0.8700412001,8.2594410434838E-005,0.9999174055,9.08068286315609E-005,0.9999091931,6.69938454740856E-005,0.999933006,7841451318709980
,40600,0.9999987716,0.1253140397,0.8746850661,8.09173792675971E-005,0.9999190826,8.86360833090989E-005,0.9999113639,6.51382617168211E-005,0.9999348616,7847287082653700
,40700,0.9999987872,0.1208326654,0.87916649,7.92807243647147E-005,0.9999207192,8.65256969012578E-005,0.9999134743,6.33414835994847E-005,0.9999366584,7852918712679370
,40800,0.9999988027,0.1165090313,0.8834901708,7.7683345688127E-005,0.9999223166,8.44737859431205E-005,0.9999155262,6.16014378743644E-005,0.9999383984,7858352114056830
,40900,0.9999988179,0.1123384812,0.8876607651,7.61241856149614E-005,0.9999238758,8.24785416932665E-005,0.9999175214,5.99161385648197E-005,0.9999400837,7863593138301590
,41000,0.9999988329,0.1083163876,0.8916829003,7.46022088740152E-005,0.9999253978,8.0538207055101E-005,0.9999194618,5.82836685336044E-005,0.9999417162,7868647600849370
,41100,0.9999988476,0.1044381915,0.8955611357,7.31164242842488E-005,0.9999268835,7.86510989649707E-005,0.9999213489,5.67021942538076E-005,0.9999432977,7873521230950020
,41200,0.9999988621,0.1006993761,0.8992999881,7.16658566618998E-005,0.9999283341,7.68155768916764E-005,0.9999231844,5.51699415440008E-005,0.9999448299,7878219704863160
,41300,0.9999988763,0.097095493,0.9029039061,7.0249559814821E-005,0.9999297504,7.50300558944647E-005,0.9999249699,5.3685203737067E-005,0.9999463147,7882748612853850
,41400,0.9999988903,0.0936221841,0.906377248,6.88666277409547E-005,0.9999311333,0.000073293,0.999926707,5.22463481100291E-005,0.9999477535,7887113431926560
,41500,0.9999989042,0.0902751553,0.909724308,6.75161685062799E-005,0.9999324838,0.000071603,0.999928397,5.0851793903172E-005,0.9999491481,7891319558295610
,41600,0.9999989177,0.0870502124,0.9129492802,6.61973280311518E-005,0.9999338026,6.99585266389501E-005,0.9999300415,0.0000495,0.9999504999,7895372262689300
,41700,0.9999989311,0.0839432225,0.9160562978,6.49092538287078E-005,0.9999350907,6.83582588068973E-005,0.9999316417,4.81895788140467E-005,0.9999518103,7899276739057580
,41800,0.9999989443,0.0809501825,0.9190493639,6.36511486361857E-005,0.9999363488,6.68008593328836E-005,0.9999331991,0.000046919,0.9999530808,7903038017964130
,41900,0.9999989572,0.0780671573,0.9219324137,6.24222155701396E-005,0.9999375778,0.000065285,0.9999347149,4.56870781939958E-005,0.9999543128,7906661044569240
,42000,0.99999897,0.0752903189,0.9247092755,6.12216882038377E-005,0.9999387783,6.38095232249272E-005,0.9999361905,4.4492362007231E-005,0.9999555075,7910150629597290
,42100,0.9999989826,0.072615946,0.9273836703,6.00488290182636E-005,0.9999399511,6.23731395762108E-005,0.9999376268,4.33336487870101E-005,0.9999566663,7913511449299820
,42200,0.9999989949,0.0700404019,0.9299592352,5.89029076717967E-005,0.9999410971,6.09747043673226E-005,0.9999390253,4.22097229483906E-005,0.9999577902,7916748074036200
,42300,0.9999990071,0.0675601661,0.9324394904,5.77832283137747E-005,0.9999422167,5.96130953904729E-005,0.9999403869,4.11194233013914E-005,0.9999588805,7919864927781100
,42400,0.9999990191,0.0651718116,0.9348278635,5.66891080609809E-005,0.9999433109,5.82872198509866E-005,0.9999417128,4.00616261893246E-005,0.9999599383,7922866317439680
,42500,0.9999990309,0.0628720053,0.9371276872,5.56198771373972E-005,0.9999443801,0.000056996,0.999943004,3.90352445126967E-005,0.9999609647,7925756431365440
,42600,0.9999990425,0.0606575223,0.9393421866,5.45748913326056E-005,0.9999454251,5.57384551933004E-005,0.9999442615,3.80392353683852E-005,0.9999619607,7928539322255600
,42700,0.9999990539,0.0585252437,0.9414744807,5.35535307140735E-005,0.9999464464,5.45135601276122E-005,0.9999454864,3.70725978492772E-005,0.9999629273,7931218909720660
,42800,0.9999990652,0.0564721421,0.943527597,5.25551865953113E-005,0.9999474448,5.33203706558957E-005,0.9999466796,3.61343628465347E-005,0.9999638656,7933798998069320
,42900,0.9999990763,0.0544952877,0.9455044652,5.15792674609095E-005,0.9999484207,0.000052158,0.999947842,3.52235961999657E-005,0.9999647763,7936283269180790
,43000,0.9999990872,0.052591841,0.947407925,5.06251927960211E-005,0.9999493748,5.10254232648955E-005,0.9999489746,3.43393935074786E-005,0.9999656605,7938675291340090
,43100,0.9999990979,0.0507590737,0.9492407046,4.96924153238142E-005,0.9999503076,4.99219047414838E-005,0.9999500781,3.34808942741487E-005,0.999966519,7940978493062860
,43200,0.9999991085,0.0489942833,0.9510055067,4.87803340838204E-005,0.9999512196,4.88465046929015E-005,0.9999511535,3.26472224288364E-005,0.9999673527,7943196270655430
,43300,0.9999991189,0.0472950126,0.9527047884,4.78885244979792E-005,0.9999521115,4.77985123262403E-005,0.9999522015,3.18376399443646E-005,0.9999681623,7945331711732950
,43400,0.9999991292,0.0456587444,0.954341067,4.70164222227828E-005,0.9999529836,4.67770876480917E-005,0.9999532229,3.10513336243339E-005,0.9999689486,7947387979863110
,43500,0.9999991393,0.0440830975,0.9559167237,4.61635285111946E-005,0.9999538365,4.57814671672129E-005,0.9999542185,3.02875524379526E-005,0.9999697124,7949368067303930
,43600,0.9999991493,0.0425657753,0.9574340552,4.53293584995836E-005,0.9999546706,4.48109115196548E-005,0.9999551891,2.95455719100906E-005,0.9999704544,7951274860190260
,43700,0.9999991591,0.0411045633,0.958895276,4.45134407964976E-005,0.9999554865,4.38647046499961E-005,0.9999561353,2.8824693110982E-005,0.9999711753,7953111141278220
,43800,0.9999991687,0.0396973272,0.9603025204,4.37153170842544E-005,0.9999562847,4.2942153022081E-005,0.9999570578,2.81242416868445E-005,0.9999718757,7954879592732510
,43900,0.9999991783,0.0383420145,0.961657841,4.29345463860785E-005,0.9999570654,4.20425894146185E-005,0.9999579574,2.7443569903979E-005,0.9999725564,7956582793918700
,44000,0.9999991876,0.037036636,0.9629632269,4.21706859813491E-005,0.9999578293,4.11653538516002E-005,0.9999588346,0.000026782,0.9999732179,7958223244502010
,44100,0.9999991969,0.0357792751,0.9642205949,4.14233034331296E-005,0.9999585767,4.03098051667428E-005,0.9999596902,2.61390503198069E-005,0.9999738609,7959803353159230
,44200,0.999999206,0.0345681265,0.9654317501,0.000040692,0.999959308,3.94753692607433E-005,0.9999605246,0.000025514,0.9999744859,7961325388311240
,44300,0.9999992149,0.0334014072,0.9665984756,3.99764392365465E-005,0.9999600235,3.86614367801624E-005,0.9999613386,2.49064017843245E-005,0.9999750936,7962791590720290
,44400,0.9999992238,0.0322774124,0.9677224764,3.92761491491923E-005,0.9999607238,3.78674299344191E-005,0.9999621326,2.43156226090212E-005,0.9999756843,7964204102804130
,44500,0.9999992324,0.0311945053,0.9688053891,3.85907794541174E-005,0.9999614092,3.70927930003776E-005,0.9999629072,2.37411644825056E-005,0.9999762588,7965564981336730
,44600,0.999999241,0.0301511115,0.9698487882,0.00003792,0.99996208,0.000036337,0.999963663,2.3182519143677E-005,0.9999768174,7966876204816890
,44700,0.9999992495,0.0291457228,0.9708541819,3.72633525085609E-005,0.9999627366,3.55994986054981E-005,0.9999644005,2.26392005355815E-005,0.9999773608,7968139668614620
,44800,0.9999992578,0.0281768739,0.9718230357,3.66205874796195E-005,0.9999633794,3.48798091020769E-005,0.9999651202,2.21107272415043E-005,0.9999778892,7969357214253730
,44900,0.999999266,0.0272431704,0.9727567436,3.59913386821782E-005,0.9999640087,3.41774358062344E-005,0.9999658226,2.15966460898686E-005,0.9999784033,7970530593731590
,45000,0.9999992741,0.0263432662,0.9736566521,3.53752775077483E-005,0.9999646247,3.34919029346841E-005,0.9999665081,2.1096514574215E-005,0.9999789035,7971661498830610
,45100,0.999999282,0.0254758553,0.9745240671,3.47720676763775E-005,0.9999652279,3.2822733564536E-005,0.9999671773,2.06098953743091E-005,0.9999793901,7972751570632660
,45200,0.9999992899,0.0246397163,0.9753602099,3.41814290787506E-005,0.9999658186,3.21695097154738E-005,0.9999678305,2.01363938673697E-005,0.9999798636,7973802344115300
,45300,0.9999992976,0.0238336434,0.9761662864,0.000033603,0.9999663969,3.15317840414264E-005,0.9999684682,1.96756023412222E-005,0.9999803244,7974815334555650
,45400,0.9999993052,0.0230564878,0.9769434454,3.30366197245082E-005,0.9999669634,3.09091359408553E-005,0.9999690909,1.92271350873564E-005,0.9999807728,7975791985481880
,45500,0.9999993128,0.0223071436,0.9776927929,3.24818644061638E-005,0.9999675181,3.03011543764536E-005,0.9999696988,1.87906173914383E-005,0.9999812094,7976733686800820
,45600,0.9999993202,0.0215845548,0.9784153848,3.19385064203363E-005,0.9999680615,2.97074499967878E-005,0.9999702925,1.83656928437565E-005,0.9999816343,7977641765543100
,45700,0.9999993275,0.0208876979,0.9791122447,3.14062676127674E-005,0.9999685937,2.91276328476925E-005,0.9999708724,0.000017952,0.999982048,7978517507757440
,45800,0.9999993347,0.0202155962,0.9797843491,3.08848870186496E-005,0.9999691151,2.85613337310896E-005,0.9999714387,1.75492319651223E-005,0.9999824507,7979362140861470
,45900,0.9999993418,0.0195673093,0.9804326387,3.0374107359944E-005,0.9999696259,2.80081914398526E-005,0.9999719918,0.000017157,0.9999828429,7980176846742970
,46000,0.9999993488,0.0189419335,0.9810580169,2.98736781836019E-005,0.9999701263,2.74678555140592E-005,0.9999725321,1.67751042340233E-005,0.9999832249,7980962760804160
,46100,0.9999993557,0.0183386011,0.9816613517,2.93833556653394E-005,0.9999706166,0.00002694,0.99997306,1.64031345319845E-005,0.9999835968,7981720973762620
,46200,0.9999993625,0.0177564781,0.9822434769,2.89029024193208E-005,0.9999710971,2.64242525813276E-005,0.9999735757,1.60408316399793E-005,0.9999839591,7982452533390640
,46300,0.9999993692,0.0171947654,0.9828051918,2.84320901633459E-005,0.9999715679,2.59203379192819E-005,0.9999740797,1.56879122965366E-005,0.9999843121,7983158444065370
,46400,0.9999993758,0.0166526901,0.9833472691,2.79706880855358E-005,0.9999720293,2.54279258237186E-005,0.9999745721,1.5344097781309E-005,0.9999846559,7983839676976960
,46500,0.9999993823,0.0161295165,0.9838704446,2.75184826768002E-005,0.9999724815,2.49467197305609E-005,0.9999750533,1.50091246336574E-005,0.9999849909,7984497156709870
,46600,0.9999993887,0.0156245329,0.9843754301,2.70752576678183E-005,0.9999729247,2.44764241728704E-005,0.9999755236,1.46827333662124E-005,0.9999853172,7985131777581360
,46700,0.9999993951,0.0151370573,0.9848629074,2.66408052083158E-005,0.9999733592,2.40167548319445E-005,0.9999759832,1.4364674408599E-005,0.9999856353,7985744396651060
,46800,0.9999994013,0.0146664345,0.9853335319,2.62149228588435E-005,0.9999737851,2.35674356668816E-005,0.9999764326,1.4054706241064E-005,0.9999859453,7986335837246390
,46900,0.9999994075,0.0142120364,0.9857879315,2.57974159739496E-005,0.9999742026,2.31282009258221E-005,0.9999768718,1.37525964640467E-005,0.9999862474,7986906888574920
,47000,0.9999994136,0.0137732571,0.9862267123,2.5388089846275E-005,0.9999746119,2.26987879700679E-005,0.9999773012,1.345811740247E-005,0.9999865419,7987458312328920
,47100,0.9999994196,0.0133495155,0.9866504553,2.49867573682573E-005,0.9999750132,2.22789440524228E-005,0.9999777211,1.31710500363316E-005,0.9999868289,7987990838495960
,47200,0.9999994255,0.0129402549,0.9870597173,2.45932386511023E-005,0.9999754068,2.18684258334168E-005,0.9999781316,1.28911835827477E-005,0.9999871088,7988505166845780
,47300,0.9999994313,0.0125449389,0.9874550346,2.42073559624177E-005,0.9999757926,0.000021467,0.999978533,1.26183126503906E-005,0.9999873817,7989001971363910
,47400,0.9999994371,0.0121630509,0.9878369237,2.38289338241383E-005,0.9999761711,2.1074417050894E-005,0.9999789256,1.23522371622398E-005,0.9999876477,7989481901088030
,47500,0.9999994428,0.0117940961,0.9882058797,2.34578036267075E-005,0.9999765422,2.06904677469104E-005,0.9999793095,1.20927646081775E-005,0.9999879072,7989945578102120
,47600,0.9999994484,0.0114375998,0.9885623771,2.30938032847924E-005,0.9999769062,2.0314930227032E-005,0.9999796851,1.18397096803041E-005,0.9999881603,7990393598807230
,47700,0.9999994539,0.0110931047,0.9889068732,2.2736772550144E-005,0.9999772632,1.99475920031769E-005,0.9999800524,1.15928917047787E-005,0.9999884071,7990826537770260
,47800,0.9999994593,0.0107601705,0.9892398084,2.23865531049928E-005,0.9999776134,1.9588244733219E-005,0.9999804118,1.13521345807864E-005,0.9999886479,7991244948432570
,47900,0.9999994647,0.010438376,0.9895616039,0.000022043,0.999977957,1.92366897305888E-005,0.9999807633,1.11172698942413E-005,0.9999888827,7991649360093180
,48000,0.99999947,0.0101273153,0.9898726655,2.17059497019711E-005,0.999978294,1.88927320054056E-005,0.9999811073,1.08881333703013E-005,0.9999891119,7992040282785000
,48100,0.9999994753,0.0098265974,0.9901733842,2.13752707068001E-005,0.9999786247,1.85561802864615E-005,0.9999814438,1.0664564822564E-005,0.9999893354,7992418207898830
,48200,0.9999994804,0.0095358492,0.9904641333,2.10508210479641E-005,0.9999789492,1.82268539190529E-005,0.9999817731,1.04464120441253E-005,0.9999895536,7992783604311420
,48300,0.9999994855,0.0092547083,0.9907452749,2.07324592468661E-005,0.9999792675,1.79045703604963E-005,0.9999820954,1.02335235450834E-005,0.9999897665,7993136927301210
,48400,0.9999994906,0.0089828292,0.9910171548,2.0420053298756E-005,0.9999795799,1.75891572895694E-005,0.9999824108,1.00257554395956E-005,0.9999899742,7993478611210980
,48500,0.9999994955,0.0087198786,0.991280106,2.01134725173767E-005,0.9999798865,1.72804454610447E-005,0.9999827196,0.000009823,0.999990177,7993809074748510
,48600,0.9999995004,0.0084655363,0.9915344491,1.98125894675334E-005,0.9999801874,1.69782703156211E-005,0.9999830217,0.000009625,0.999990375,7994128720505030
,48700,0.9999995053,0.008219494,0.991780492,1.95172798758223E-005,0.9999804827,1.66824718371674E-005,0.9999833175,9.43179028447686E-006,0.9999905682,7994437935604520
,48800,0.99999951,0.0079814557,0.9920185309,1.92274225439967E-005,0.9999807726,1.63928944146606E-005,0.9999836071,9.2431414536649E-006,0.9999907568,7994737092326400
,48900,0.9999995148,0.0077511356,0.9922488516,1.89428975142545E-005,0.9999810571,1.61093852198823E-005,0.9999838906,0.000009059,0.999990941,7995026549596150
,49000,0.9999995194,0.0075282619,0.9924717258,1.86635947408097E-005,0.9999813364,1.58318015221443E-005,0.9999841682,8.8791023995944E-006,0.9999911209,7995306649090610
,49100,0.999999524,0.0073125689,0.9926874194,1.83893965043478E-005,0.9999816106,0.00001556,0.99998444,8.70347506300842E-006,0.9999912965,7995577724721810
,49200,0.9999995285,0.0071038036,0.9928961851,1.81201948414976E-005,0.9999818798,1.52938298861535E-005,0.9999847062,0.000008532,0.999991468,7995840094228800
,49300,0.999999533,0.0069017229,0.9930982663,1.78558843472898E-005,0.9999821441,1.50331700231894E-005,0.9999849668,8.36443922533234E-006,0.9999916356,7996094063363170
,49400,0.9999995374,0.0067060908,0.9932938989,1.75963573038149E-005,0.9999824036,1.47778814777044E-005,0.9999852221,8.2008135243334E-006,0.9999917992,7996339928650730
,49500,0.9999995418,0.0065166826,0.9934833075,1.7341515051385E-005,0.9999826585,1.45278386892731E-005,0.9999854722,0.000008041,0.999991959,7996577972322900
,49600,0.9999995461,0.006333281,0.9936667095,1.70912580828101E-005,0.9999829087,1.42829167513491E-005,0.9999857171,7.88483239888641E-006,0.9999921152,7996808467529010
,49700,0.9999995503,0.0061556758,0.9938443152,1.68454862566571E-005,0.9999831545,0.000014043,0.999985957,7.73227778880947E-006,0.9999922677,7997031678526720
,49800,0.9999995545,0.0059836667,0.9940163247,1.66041079552103E-005,0.9999833959,1.38079474959939E-005,0.9999861921,7.58322113255302E-006,0.9999924168,7997247856843750
,49900,0.9999995587,0.0058170594,0.9941829323,0.000016367,0.999983633,1.35776681454713E-005,0.9999864223,7.4375700048604E-006,0.9999925624,7997457246659320
,50000,0.9999995628,0.0056556681,0.994344324,1.61341613095625E-005,0.9999838658,0.000013352,0.999986648,7.29523603451698E-006,0.9999927048,7997660081707780
,50100,0.9999995668,0.0054993125,0.9945006799,1.59054146818319E-005,0.9999840946,0.000013131,0.999986869,7.15613211907487E-006,0.9999928439,7997856588289380
,50200,0.9999995708,0.0053478203,0.9946521724,1.56807047936504E-005,0.9999843193,1.29143177045067E-005,0.9999870857,7.02017498018604E-006,0.9999929798,7998046983046850
,50300,0.9999995747,0.0052010245,0.9947989685,1.54599463060868E-005,0.9999845401,0.000012702,0.999987298,6.88728250205452E-006,0.9999931127,7998231475787920
,50400,0.9999995786,0.0050587653,0.9949412279,1.52430586574089E-005,0.9999847569,1.24939339983173E-005,0.9999875061,6.75737617768597E-006,0.9999932426,7998410267387770
,50500,0.9999995825,0.0049208879,0.9950791057,0.00001503,0.99998497,0.00001229,0.99998771,6.63037856473928E-006,0.9999933696,7998583552436240
,50600,0.9999995863,0.0047872443,0.9952127495,1.48205762997977E-005,0.9999851794,1.2090097680377E-005,0.9999879099,6.50621619938341E-006,0.9999934938,7998751516732310
,50700,0.99999959,0.0046576902,0.9953423039,1.4614825886804E-005,0.9999853852,1.1894146439272E-005,0.9999881059,6.38481486574119E-006,0.9999936152,7998914341887600
,50800,0.9999995937,0.0045320882,0.9954679061,1.44126373641212E-005,0.9999855874,1.17020526505928E-005,0.9999882979,6.26610530515005E-006,0.9999937339,7999072200254030
,50900,0.9999995974,0.0044103055,0.9955896891,1.42139379474709E-005,0.9999857861,1.15137280706678E-005,0.9999884863,0.00000615,0.99999385,7999225258926910
,51000,0.999999601,0.0042922139,0.9957077808,1.40186565504719E-005,0.9999859813,1.13290867374332E-005,0.9999886709,6.03648978616525E-006,0.9999939635,7999373678907770
,51100,0.9999996046,0.00417769,0.9958223049,1.3826723740507E-005,0.9999861733,0.000011148,0.999988852,5.92545277677923E-006,0.9999940745,7999517615341540
,51200,0.9999996081,0.0040666145,0.9959333807,1.36380705190639E-005,0.9999863619,1.09705200341617E-005,0.9999890295,5.81684481655853E-006,0.9999941832,7999657218183430
,51300,0.9999996116,0.0039588733,0.996041122,1.3452633006567E-005,0.9999865474,1.07964345343767E-005,0.9999892036,5.71060593552939E-006,0.9999942894,7999792630646790
,51400,0.999999615,0.0038543554,0.9961456402,1.32703441442934E-005,0.9999867297,1.0625709060414E-005,0.9999893743,5.60667587097842E-006,0.9999943933,7999923992501660
,51500,0.9999996184,0.0037529543,0.9962470414,1.30911418735016E-005,0.9999869089,1.04582690632796E-005,0.9999895417,0.000005505,0.999994495,8000051437212390
,51600,0.9999996218,0.0036545676,0.9963454283,0.000012915,0.999987085,0.000010294,0.999989706,5.40551487827629E-006,0.9999945945,8000175093874410
,51700,0.9999996251,0.003559096,0.9964409001,1.27417513829776E-005,0.9999872582,0.000010133,0.999989867,5.30817351842955E-006,0.9999946918,8000295086959740
,51800,0.9999996284,0.0034664441,0.9965335521,1.25714438004405E-005,0.9999874286,9.97493543623524E-006,0.9999900251,5.21292051595516E-006,0.9999947871,8000411536494220
,51900,0.9999996316,0.0033765197,0.9966234766,0.000012404,0.999987596,9.81991996535541E-006,0.9999901801,5.11970441588232E-006,0.9999948803,8000524558227730
,52000,0.9999996348,0.0032892344,0.9967107621,1.22393167100606E-005,0.9999877607,9.66784103349708E-006,0.9999903322,5.028475609277E-006,0.9999949715,8000634263449880
,52100,0.999999638,0.0032045018,0.9967954948,1.20773847470653E-005,0.9999879226,9.51863223404616E-006,0.9999904814,4.93918458539322E-006,0.9999950608,8000740760546700
,52200,0.9999996411,0.0031222396,0.9968777571,1.19181353498644E-005,0.9999880819,9.37223125388731E-006,0.9999906278,4.85178445981743E-006,0.9999951482,8000844153035870
,52300,0.9999996442,0.0030423683,0.9969576285,1.17615168909044E-005,0.9999882385,9.22857729426904E-006,0.9999907714,4.7662296099682E-006,0.9999952338,8000944540812660
,52400,0.9999996472,0.0029648107,0.9970351863,1.16074769264599E-005,0.9999883925,9.08760951552201E-006,0.9999909124,4.68247485738448E-006,0.9999953175,8001042020905060
,52500,0.9999996502,0.0028894923,0.9971105048,0.000011456,0.999988544,8.94926862190147E-006,0.9999910507,4.60047627570588E-006,0.9999953995,8001136686914660
,52600,0.9999996532,0.0028163422,0.997183655,1.13069324966917E-005,0.9999886931,8.81349973930972E-006,0.9999911865,4.52019265053433E-006,0.9999954798,8001228627976620
,52700,0.9999996562,0.0027452907,0.9972547066,1.11603317403258E-005,0.9999888397,8.68024565518442E-006,0.9999913198,4.44158198756552E-006,0.9999955584,8001317931608490
,52800,0.9999996591,0.0026762711,0.9973237263,1.10161149675326E-005,0.9999889839,8.54945204012521E-006,0.9999914505,4.36460418585796E-006,0.9999956354,8001404681686390
,52900,0.999999662,0.002609219,0.9973907785,1.08742362282086E-005,0.9999891258,8.42106589567651E-006,0.9999915789,4.28922022411179E-006,0.9999957108,8001488959177580
,53000,0.9999996648,0.0025440723,0.9974559253,1.07346514669208E-005,0.9999892653,0.000008295,0.999991705,4.21539247397825E-006,0.9999957846,8001570841987510
,53100,0.9999996676,0.0024807706,0.9975192271,1.05973149657651E-005,0.9999894027,8.17131113078455E-006,0.9999918287,4.14308328049618E-006,0.9999958569,8001650406117030
,53200,0.9999996704,0.0024192567,0.9975807411,1.04621871961154E-005,0.9999895378,8.04984413553902E-006,0.9999919502,4.07225802068391E-006,0.9999959277,8001727723430170
,53300,0.9999996732,0.0023594739,0.997640524,1.03292226445497E-005,0.9999896708,7.93058450432737E-006,0.9999920694,4.00288032100548E-006,0.9999959971,8001802865324670
,53400,0.9999996759,0.0023013681,0.9976986299,1.01983810594013E-005,0.9999898016,7.81348603991334E-006,0.9999921865,3.93491643659693E-006,0.9999960651,8001875899512290
,53500,0.9999996786,0.0022448873,0.9977551107,1.00696230328376E-005,0.9999899304,7.69850362835729E-006,0.9999923015,3.86833349853432E-006,0.9999961317,8001946891412750
,53600,0.9999996812,0.0021899812,0.9978100169,9.94290918026659E-006,0.9999900571,7.58559259991403E-006,0.9999924144,3.8030991825105E-006,0.9999961969,8002015904458300
,53700,0.9999996838,0.0021366007,0.9978633975,9.81820018258637E-006,0.9999901818,7.4747087549405E-006,0.9999925253,3.73918171464055E-006,0.9999962608,8002083000143880
,53800,0.9999996864,0.0020846989,0.9979152994,9.69545915598636E-006,0.9999903045,7.36581015778764E-006,0.9999926342,3.67655075968742E-006,0.9999963234,8002148237448070
,53900,0.999999689,0.0020342301,0.9979657682,9.57464845143537E-006,0.9999904254,7.25885468521915E-006,0.9999927411,3.61517618315424E-006,0.9999963848,8002211673782680
,54000,0.9999996916,0.0019851507,0.9980148477,9.45573352017268E-006,0.9999905443,7.1538029513645E-006,0.9999928462,0.000003555,0.999996445,8002273364016630
,54100,0.9999996941,0.0019374178,0.9980625806,9.33867752753312E-006,0.9999906613,7.05061421138833E-006,0.9999929494,3.49608183239272E-006,0.9999965039,8002333361979490
,54200,0.9999996965,0.0018909905,0.998109008,9.22344667793178E-006,0.9999907766,6.94925038616397E-006,0.9999930507,3.43830588838187E-006,0.9999965617,8002391719106120
,54300,0.999999699,0.001845829,0.9981541696,0.00000911,0.99999089,6.84967318666901E-006,0.9999931503,3.38167453996014E-006,0.9999966183,8002448485494720
,54400,0.9999997014,0.0018018951,0.9981981035,8.99832512743342E-006,0.9999910017,6.75184684423704E-006,0.9999932482,3.32616215744136E-006,0.9999966738,8002503709027740
,54500,0.9999997038,0.0017591514,0.9982408473,8.8883689450035E-006,0.9999911116,6.65573428897997E-006,0.9999933443,3.271742715422E-006,0.9999967283,8002557436718420
