 T n1/n ionization_energy
         100     1.64665154962668970487181542778916496E-0341     9.36435673945232018144101122480362463E-0326
         200     5.95249132646764929816159492336044598E-0170     3.38512736845726964500745927333792365E-0154
         300     1.04121860351669086003137485623377321E-0112     5.92131495536815009545422891356785597E-0097
         400     4.64123457093359212442895963882944549E-0084     2.63942764597369347084924680921660152E-0068
         500     7.45673140461499652602319542521419756E-0067     4.24057494124502001343956858370307447E-0051
         600     2.25990096846948531185978136353766649E-0055     1.28518500889758844618530662422786903E-0039
         700     3.65579327190274154107861822762435206E-0047     2.07901619328922792838372180572285381E-0031
         800     5.31480299812589019685130576067266168E-0041     3.02247984922157971654738260099475920E-0025
         900     3.33489970809707559809332163890468847E-0036     1.89652695884544338305837715948765466E-0020
        1000     2.31625258326227985081702505662704005E-0032     1.31723165676814491199609083218028644E-0016
        1100     3.24312425360038320396851650169397984E-0029     1.84433509736587056411652363034207561E-0013
        1200     1.36536658533576699053786130976970789E-0026     7.76471487735862457339106896477782444E-0011
        1300     2.27976017437757071420503462205696997E-0024     1.29647875764046678000292536028217426E-0008
        1400     1.83992653741188950947790940442507714E-0022     1.04634939156473809251055149304585122E-0006
        1500     8.29868579292246831860939368823168849E-0021     4.71938670031122821258891387671190725E-0005
        1600     2.33238477335431112573689767070826584E-0019     1.32640588570836528562502351469582388E-0003
        1700     4.43959599202815985412351665315327102E-0018     2.52475763058793999461446305347200185E-0002
        1800     6.10632926595870079463976218472792467E-0017    0.347261359745229178041930767542646479      
        1900     6.38755255793311836183794273807318407E-0016     3.63254271117939673944322016685930579      
        2000     5.29408443095790362225223133854441652E-0015     30.1069738959098478067346784262528617      
        2100     3.59377644446909476299719361654562873E-0014     204.374779081091475267339038079188812      
        2200     2.05306154513679630739809955820889107E-0013     1167.55732085945955165503722148112467      
        2300     1.00944734471168252168945604272720648E-0012     5740.63471273939630941479495106823486      
        2400     4.35226704797796922826746850696746392E-0012     24750.9445892596603795138651200365344      
        2500     1.67155184543139372173177270677297042E-0011     95059.6244400225927563285855787027696      
        2600     5.79523552348330936968699217519572690E-0011     329569.743175765392760551489316196221      
        2700     1.83438434893484579203971969075228104E-0010     1043197.59967360694885735733552670458      
        2800     5.35298661275898178718062600534247570E-0010     3044194.52158848724918854956520206033      
        2900     1.45220169901914266502122624845916950E-0009     8258538.22585416798326533397234900975      
        3000     3.68923761372406526658943858960530052E-0009     20980356.8455937926262569391377408034      
        3100     8.83229804021770242587188945274182448E-0009     50228471.0426531750081993755042296932      
        3200     2.00374765166742722230176214113908891E-0008     113951296.072976407146016802759372070      
        3300     4.32871523957202486341618555816051539E-0008     246170076.091970023311481404153015703      
        3400     8.94309724406199099608467602767931694E-0008     508585759.798394544947014754891073992      
        3500     1.77371270304384047166938165556056230E-0007     1008694189.63388694112280416355731273      
        3600     3.38855976288589561511169497607231194E-0007     1927042941.16210210648956671601865999      
        3700     6.25453823028323492222057280812410083E-0007     3556898679.75973833981994525382328215      
        3800     1.11840089085993670447454563744263956E-0006     6360243563.43518547035062971162118214      
        3900     1.94211837579032584940859253699236518E-0006     11044649552.7662868559916086609633599      
        4000     3.28230459803362624053646997655539283E-0006     18666166008.5279114376428968688188894      
        4100     5.40957532202626957925351947285267147E-0006     30763760029.1792644876426271842726378      
        4200     8.70971111852467268552522153794872407E-0006     49531330432.3127015522351971701106506      
        4300     1.37215713154143252353884903140167722E-0005     78033320924.8225083117735409589548111      
        4400     2.11837472648994353980326847306213295E-0005     120470032965.923109837010287460786514      
        4500     3.20909968985134710961673768025582317E-0005     182498563919.286214766332213470704315      
        4600     4.77614308203219833818516252676613513E-0005     271614888219.407777175817557002042369      
        4700     6.99152344042655326769859910889092321E-0005     397601542738.292999538026331710461848      
        4800     1.00765765693659434653554383736441268E-0004     573045692206.962051182143790360776382      
        4900     1.43123415993454351598078828470680693E-0004     813929774903.251760367705752978429861      
        5000     2.00512655991325728010291884180356188E-0004     1140297133235.95413183718815829126820      
        5100     2.77302335708212621282802601201490401E-0004     1576993017644.67313645564030302567613      
        5200     3.78849090413486972243796176359281188E-0004     2154480122921.69993394789343603080341      
        5300     5.11653381055602967672134982989300883E-0004     2909725975867.71311573250236445359770      
        5400     6.83527552112212741497790447967577278E-0004     3887158664912.72104583782347332423350      
        5500     9.03774643746048960208904510195206352E-0004     5139683728490.17762473511303462059151      
        5600     1.18337702293560991227957021263928439E-0003     6729756883022.63407397871272454488578      
        5700     1.53519279278647984149573298510149885E-0003     8730500984709.17400441946573311266224      
        5800     1.97415690598500222031947179161624544E-0003     11226849743340.1101621851020569521660      
        5900     2.51748647037294235608647019989515826E-0003     14316715276320.2838740233589853901231      
        6000     3.18488764218360103484334227958397288E-0003     18112164691577.8092387108511242212774      
        6100     3.99875578027334585447177599039183917E-0003     22740558346370.1910717754329647454952      
        6200     4.98437106851244906735854313262643390E-0003     28345662333926.9576048886930074395764      
        6300     6.17008076512163255033274755862794150E-0003     35088684918755.7958459738107534290949      
        6400     7.58746623620518796247204355987241012E-0003     43149226441066.4370643819660735035588      
        6500     9.27148561033675112629034878216158501E-0003     52726090580350.9892289260177795593169      
        6600     1.12605880745267863572522670974545212E-0002     64037934346096.0866138870786365753200      
        6700     1.35967909056355416895817007232771735E-0002     77323706148382.1130164787756001876934      
        6800     1.63257131063084783766537441550922011E-0002     92842837082371.2274314566289561874717      
        6900     1.94965548844863182341518408752281172E-0002     110875124230158.063070986870867656456      
        7000     2.31620073786897310704768198053937360E-0002     131720217276721.395431781381978560166      
