 T n_h1/n_h n_he1/n_he n_he2/n_he
         100     1.37768751743912883551770104309468420E-0341     8.66999862192041361988520387290533029E-0895     9.12787126910833534622775141744422985E-3293
         200     4.98021150813695454488721278936511100E-0170     2.49276854053700858024346363028973405E-0446     3.43186045116645443461403261404209932E-1644
         300     8.71146250875445196153803105715798246E-0113     8.70389935159436815093533446628325547E-0297     1.49349870542516858592383340449428931E-1094
         400     3.88313557782932164357527044548945589E-0084     5.48150295930686979889171985050120565E-0222     1.11913414296775048496110638895323656E-0819
         500     6.23874817549377672714935905251967405E-0067     4.31391060349212873306327457455686295E-0177     1.01533310785393674571587286597784708E-0654
         600     1.89076873894638549091513029863859294E-0055     3.77094173912392857351415186978712131E-0147     1.00066381375945085325335923748536356E-0544
         700     3.05865606787251614151740894746445009E-0047     9.35585077371296170245464004216364298E-0126     3.82635556919513273873165453957742154E-0466
         800     4.44668330170907251204103012675814066E-0041     1.05413143406539425744100168302613131E-0109     3.39884166163107370486446770719359572E-0407
         900     2.79017742007831816655563782063914157E-0036     3.25216648155018728425808277284835128E-0097     2.45059322579028568986199843188474053E-0361
        1000     1.93791593119018882352470704600693606E-0032     3.21530214823706682083628013413776174E-0087     1.21025448049252060884164342076830346E-0324
        1100     2.71339213998149840681285602195869403E-0029     4.87478160088387958601119847775667555E-0079     1.29077195797242501042126432232515686E-0294
        1200     1.14234778621882513594390863999529202E-0026     3.21887464668293218848378343970747474E-0072     1.37753419452351738221178667917058810E-0269
        1300     1.90738413718125590353421759472603004E-0024     1.90700196667724055026170656051320474E-0066     2.09428336151109167158600854670567238E-0248
        1400     1.53939297209906991227264962984372167E-0022     1.69873578302947187775408858072003835E-0061     3.02385548271388370370107343801854409E-0230
        1500     6.94317716047701465217787667731061962E-0021     3.32263647734364778605111932455093368E-0057     1.66694418739853785861271286198191712E-0214
        1600     1.95141328252481830357149548517882866E-0019     1.89573904131252563085267608216966253E-0053     9.96157010214008852782271704054055048E-0201
        1700     3.71443208709541651608534058291707907E-0018     3.92062488592587084360562586977834004E-0050     1.43343205429382347976047761482007824E-0188
        1800     5.10892190679088822788992416785537838E-0017     3.48016435243342643579670629016025814E-0047     9.23979505030726458362233991543724993E-0178
        1900     5.34420977736969864286267164902624970E-0016     1.51514969222217740190086672548028466E-0044     4.35545732769579192769078047640278363E-0168
        2000     4.42934875332665844214513134643512390E-0015     3.59984101333869972896576377351617569E-0042     2.22220021353738025934968440855997737E-0159
        2100     3.00676869343673223377910829917204152E-0014     5.08882582831396726328879420890048386E-0040     1.68567846149775052294926553132308814E-0151
        2200     1.71771451201843617489999748332073499E-0013     4.59380229334013030334534112849680483E-0038     2.46498444438146969443060699542648018E-0144
        2300     8.44564283830773545496314786739931769E-0013     2.80751875801811622530090582253591923E-0036     8.61181115494815514835194644538430622E-0138
        2400     3.64136673029776915695497289444082439E-0012     1.21959966087284851336568179421583339E-0034     8.59570900413474176948501979820540522E-0132
        2500     1.39852064351277827566310634727753336E-0011     3.92304818666647455125235938159932560E-0033     2.84852814014371406042105942791784580E-0126
        2600     4.84864353972595295184908304784987787E-0011     9.67334683138449085571204412017180132E-0032     3.55893522750360643565559921072609339E-0121
        2700     1.53475604166463227268464135459635677E-0010     1.88315624631837002070153489108691482E-0030     1.86816222693451079490741532018065367E-0116
        2800     4.47863002275663688565749145120443372E-0010     2.96847482545109721713325852326723953E-0029     4.52086361889438214449663204456251686E-0112
        2900     1.21499909855322860094690129804674663E-0009     3.87244481365044269761950053990339276E-0028     5.46385437907306291009931285584064337E-0108
        3000     3.08663877214467682089488843051843232E-0009     4.26037781552214778149830068283790120E-0027     3.53487381170399040568051547505736732E-0104
        3100     7.38962807853448465006438470242648012E-0009     4.01855556699837891028422984452533138E-0026     1.30042737290768802952154199712695837E-0100
        3200     1.67645547789879092191491189641112477E-0008     3.29690699019694431654822921747622306E-0025     2.86812925400552393717492205670557256E-0097
        3300     3.62166294985549908473394019163485454E-0008     2.38262448049686807609700312991143094E-0024     3.97274702333457622626095858344432097E-0094
        3400     7.48233192496788805692318784458364724E-0008     1.53379900842871495699716243253061367E-0023     3.60056084148002090746236264809112809E-0091
        3500     1.48399451590805578409647720256568592E-0007     8.88265741912420370755345890272967759E-0023     2.21416281047853521199286054653120487E-0088
        3600     2.83507250930115492770044014962377410E-0007     4.66873854954266308774378727952499436E-0022     9.54180436062339767172972839437243253E-0086
        3700     5.23292199015097458365173998012361007E-0007     2.24463827071537738300628105409951033E-0021     2.96578383078707109041279020944698547E-0083
        3800     9.35721012127568863468545205629092140E-0007     9.94106299230552374349666837959520033E-0021     6.82223972640608526203225162911826312E-0081
        3900     1.62489344845867590774153125438873422E-0006     4.08128201069368367310712447136989747E-0020     1.18860506491382871743235639933256969E-0078
        4000     2.74617376404119064462303802323282135E-0006     1.56207162489234603878312911958208650E-0019     1.60143805241208307201944969142089579E-0076
        4100     4.52597731821258728619080731947235792E-0006     5.60234297516120077643451515497185190E-0019     1.70021380360189137017689904904117904E-0074
        4200     7.28707250481482067346544882952862160E-0006     1.89153792876489553578225455082297241E-0018     1.44677126724950518432732675572527517E-0072
        4300     1.14803029880024198698645088814220254E-0005     6.03757139766261227405927373298181353E-0018     1.00206300419646586390051271563272598E-0070
        4400     1.77236246470716329043051406203140289E-0005     1.82881979606607205307984824649562466E-0017     5.72897074233430270529720605126908547E-0069
        4500     2.68493280818624199622545968899041465E-0005     5.27537450960953252032777432668727725E-0017     2.73836734244857878225711299937880917E-0067
